Model,Model_Code,Accuracy_mean,Accuracy_sd,F1_mean,F1_sd,Precision_mean,Recall_mean,LogLoss_mean,Accuracy_global
Random Forest,rf,0.7266242104604865,0.009624788852232719,0.7232301801696477,0.009638420091276637,0.7460982447469835,0.709786325401281,0.622152009286347,0.7266231114740711
XGBoost,xgb,0.7125354901919909,0.007665983056008083,0.7099668446983858,0.007585678155176911,0.7242149524272438,0.7007465434440151,0.6816749417651674,0.7125357288689261
Classification Tree,tree,0.6192295345104334,0.017114598649881307,0.6056349785231271,0.016238264040162056,0.6233087145068142,0.5966464659065138,4.171490333035843,0.6192323397305023
Multinomial Logistic,multinom,0.5651241374997394,0.013700167961721745,0.5215306279284359,0.013472403999039484,0.5805399259831386,0.5135458646756025,0.897525227306563,0.5651286239281339
Ridge Logistic,ridge,0.5651241374997394,0.013700167961721745,0.5215306279284359,0.013472403999039484,0.5805399259831386,0.5135458646756025,0.897525227306563,0.5651286239281339
SVM (Linear),svm,0.5483821475474765,0.015281635982166043,0.40927070346871003,0.013331054485154675,0.44931633006000826,0.4567736458009817,0.8893341764797642,0.5483870967741935
Elastic Net,enet,0.5106141210314565,0.007477438191459978,0.46118545556685253,0.012339312142737155,0.5225579083840779,0.4567843147121032,0.944954383155132,0.5106165781951817
Lasso Logistic,lasso,0.5100016676742197,0.007204145637715873,0.4604224265638644,0.011698929598277799,0.5215574613865035,0.45611508211926266,0.945118724972833,0.5100040832993058
Naive Bayes,nb,0.49775114131454423,0.009981378790986869,0.5019288208948807,0.00980758217283973,0.50165248271183,0.5383451914026989,1.2276989775851928,0.4977541853817885
SVM (RBF),svm_rbf,0.47243855662796275,0.010310406163846578,0.33074392858692847,0.010061652108549457,0.3246631148435868,0.37956576712174245,0.962404757833459,0.47243772968558595
